,time,reffen,awa,aws,sog,rollen,twa,tws,stw,kurs
0,17-07-2022 13:47:57,-1.0,124,10.5,7.0,3,147,15.7,7.1,208
1,17-07-2022 13:47:57,-1.0,124,10.5,7.0,3,147,15.7,7.1,208
2,17-07-2022 13:47:58,-1.0,124,10.6,7.0,7,146,15.5,7.1,212
3,17-07-2022 13:47:59,-1.0,124,11.2,6.9,10,146,15.9,7.1,214
4,17-07-2022 13:48:00,-1.0,130,11.4,6.7,5,144,16.1,6.9,214
5,17-07-2022 13:48:01,-1.0,139,11.3,6.6,1,150,16.8,6.8,211
6,17-07-2022 13:48:02,-1.0,142,10.8,6.7,3,156,17.0,6.8,207
7,17-07-2022 13:48:03,-1.0,140,10.6,6.8,0,156,16.6,6.8,205
8,17-07-2022 13:48:04,-1.0,135,10.8,6.7,5,155,16.3,6.7,206
9,17-07-2022 13:48:05,-1.0,130,11.4,6.7,6,151,16.3,6.6,206
10,17-07-2022 13:48:06,-1.0,128,11.7,6.6,3,146,16.5,6.6,204
11,17-07-2022 13:48:07,-1.0,131,11.5,6.6,0,146,16.5,6.5,202
12,17-07-2022 13:48:08,-1.0,133,11.2,6.6,2,150,16.4,6.5,200
13,17-07-2022 13:48:09,-1.0,131,11.2,6.8,1,150,16.3,6.7,201
14,17-07-2022 13:48:10,-1.0,128,11.5,6.9,4,148,16.4,6.7,203
15,17-07-2022 13:48:11,-1.0,124,12.1,6.8,9,146,16.8,6.8,208
16,17-07-2022 13:48:12,-1.0,121,12.7,6.9,7,141,17.3,7.0,209
17,17-07-2022 13:48:13,-1.0,125,12.6,6.9,0,142,17.6,7.0,208
18,17-07-2022 13:48:14,-1.0,136,12.1,7.4,6,148,17.8,7.2,206
19,17-07-2022 13:48:15,-1.0,138,11.5,7.5,3,156,17.8,7.3,205
20,17-07-2022 13:48:16,-1.0,133,11.4,7.5,2,152,17.3,7.3,207
21,17-07-2022 13:48:17,-1.0,126,12.0,7.4,7,147,17.4,7.4,208
22,17-07-2022 13:48:18,-1.0,124,12.7,7.3,6,144,17.7,7.4,207
23,17-07-2022 13:48:19,-1.0,125,12.6,7.3,2,144,18.0,7.4,207
24,17-07-2022 13:48:20,-1.0,125,12.2,7.3,0,145,17.7,7.4,206
25,17-07-2022 13:48:21,-1.0,124,11.7,7.5,1,146,17.4,7.8,205
26,17-07-2022 13:48:22,-1.0,123,11.6,7.6,1,146,17.2,7.9,204
27,17-07-2022 13:48:23,-1.0,121,11.8,7.9,3,144,17.3,8.0,205
28,17-07-2022 13:48:24,-1.0,120,12.1,7.9,5,144,17.7,8.2,207
29,17-07-2022 13:48:25,-1.0,120,12.4,7.9,6,143,17.8,8.1,209
30,17-07-2022 13:48:26,-1.0,121,12.4,7.8,3,144,17.9,8.0,209
31,17-07-2022 13:48:27,-1.0,125,12.0,8.0,2,146,17.9,8.1,208
32,17-07-2022 13:48:28,-1.0,128,11.5,8.0,2,149,17.7,8.1,208
33,17-07-2022 13:48:29,-1.0,129,11.3,8.1,2,150,17.5,8.0,210
34,17-07-2022 13:48:30,-1.0,127,11.5,7.9,8,148,17.5,7.9,213
35,17-07-2022 13:48:31,-1.0,127,11.9,7.7,10,148,17.5,7.7,215
36,17-07-2022 13:48:32,-1.0,132,12.0,7.0,6,150,17.9,7.5,216
37,17-07-2022 13:48:33,-1.0,142,11.7,6.5,2,150,17.9,7.2,214
38,17-07-2022 13:48:34,-1.0,148,11.1,6.5,0,157,17.9,7.0,210
39,17-07-2022 13:48:35,-1.0,144,10.8,6.5,1,160,17.4,6.8,205
40,17-07-2022 13:48:36,-1.0,139,10.7,6.9,2,157,16.7,7.4,201
41,17-07-2022 13:48:37,-1.0,136,10.7,7.5,2,155,17.0,7.4,199
42,17-07-2022 13:48:38,-1.0,131,10.8,7.8,1,153,16.7,7.7,201
