,time,reffen,awa,aws,sog,rollen,twa,tws,stw,kurs
0,20-07-2022 15:43:50,2.0,37,18.6,6.3,5,55,13.8,6.8,143
1,20-07-2022 15:43:51,2.0,37,18.7,6.3,5,55,13.8,6.8,143
2,20-07-2022 15:43:52,2.0,38,18.7,6.2,6,54,13.9,6.7,144
3,20-07-2022 15:43:53,2.0,37,18.6,6.2,7,55,14.1,6.6,145
4,20-07-2022 15:43:54,2.0,38,18.2,6.2,4,53,13.9,6.5,147
5,20-07-2022 15:43:55,2.0,40,18.0,6.1,5,55,13.6,6.5,148
6,20-07-2022 15:43:56,2.0,41,17.9,6.1,8,59,13.7,6.5,149
7,20-07-2022 15:43:57,2.0,39,17.6,6.0,9,59,13.5,6.6,150
8,20-07-2022 15:43:58,2.0,38,17.6,6.3,10,58,13.1,6.6,148
9,20-07-2022 15:43:59,2.0,42,17.8,6.2,9,56,13.1,6.5,152
10,20-07-2022 15:44:00,2.0,40,17.9,6.1,10,63,13.8,6.6,152
11,20-07-2022 15:44:01,2.0,41,18.3,6.0,9,57,13.5,6.5,152
12,20-07-2022 15:44:02,2.0,43,18.5,6.0,10,61,14.3,6.7,151
13,20-07-2022 15:44:03,2.0,42,18.7,6.2,8,62,14.4,6.7,147
14,20-07-2022 15:44:04,2.0,43,19.0,6.2,8,60,14.6,6.7,146
15,20-07-2022 15:44:05,2.0,42,19.3,6.1,10,62,15.0,6.8,145
16,20-07-2022 15:44:06,2.0,40,19.5,6.1,11,58,15.1,6.6,145
17,20-07-2022 15:44:07,2.0,39,19.5,6.1,11,55,15.1,6.4,143
18,20-07-2022 15:44:08,2.0,39,19.7,6.0,10,54,15.1,6.4,144
19,20-07-2022 15:44:09,2.0,39,19.9,6.0,9,54,15.5,6.4,143
20,20-07-2022 15:44:10,2.0,38,20.0,6.0,9,53,15.5,6.3,142
21,20-07-2022 15:44:11,2.0,38,20.2,5.9,9,52,15.6,6.3,142
22,20-07-2022 15:44:12,2.0,36,20.3,6.0,8,51,15.6,6.4,140
23,20-07-2022 15:44:13,2.0,37,20.4,6.0,4,50,15.7,6.4,140
24,20-07-2022 15:44:14,2.0,37,20.6,5.8,6,51,15.9,6.4,141
25,20-07-2022 15:44:15,2.0,35,20.7,5.7,10,49,16.0,6.3,142
26,20-07-2022 15:44:16,2.0,34,20.6,5.7,8,47,15.9,6.2,142
27,20-07-2022 15:44:17,2.0,36,20.7,5.7,6,49,16.1,6.2,143
28,20-07-2022 15:44:18,2.0,36,20.9,5.7,9,50,16.4,6.1,143
29,20-07-2022 15:44:19,2.0,37,20.9,5.7,11,50,16.3,6.2,144
30,20-07-2022 15:44:20,2.0,36,20.7,5.7,12,49,16.1,6.2,144
31,20-07-2022 15:44:21,2.0,38,20.6,5.7,11,51,16.2,6.0,146
32,20-07-2022 15:44:22,2.0,39,20.4,5.6,10,53,16.3,6.0,145
33,20-07-2022 15:44:23,2.0,40,20.6,5.7,9,53,16.5,5.9,144
34,20-07-2022 15:44:24,2.0,41,20.6,5.7,10,54,16.6,5.8,144
35,20-07-2022 15:44:25,2.0,40,20.4,5.7,10,53,16.3,5.9,144
36,20-07-2022 15:44:26,2.0,40,20.4,5.7,10,54,16.3,6.0,144
37,20-07-2022 15:44:27,2.0,40,20.3,5.6,10,54,16.3,6.1,144
38,20-07-2022 15:44:28,2.0,40,20.3,5.7,10,54,16.1,6.2,143
39,20-07-2022 15:44:29,2.0,40,20.3,5.7,11,55,16.1,6.2,144
40,20-07-2022 15:44:30,2.0,39,20.2,5.8,11,55,16.1,6.2,144
41,20-07-2022 15:44:31,2.0,40,20.1,5.9,9,53,15.9,6.2,142
42,20-07-2022 15:44:32,2.0,41,20.1,5.9,9,54,15.8,6.3,143
43,20-07-2022 15:44:33,2.0,40,20.1,5.9,10,56,15.8,6.4,142
44,20-07-2022 15:44:34,2.0,38,20.0,5.9,9,54,15.7,6.3,141
45,20-07-2022 15:44:35,2.0,39,19.9,5.9,8,53,15.6,6.3,141
46,20-07-2022 15:44:36,2.0,38,19.9,5.9,9,54,15.5,6.4,140
47,20-07-2022 15:44:37,2.0,37,19.9,5.9,9,53,15.4,6.4,141
48,20-07-2022 15:44:38,2.0,37,19.9,5.9,8,52,15.3,6.4,141
49,20-07-2022 15:44:39,2.0,38,19.9,5.9,8,51,15.2,6.5,143
50,20-07-2022 15:44:40,2.0,37,19.9,5.9,8,54,15.3,6.4,141
51,20-07-2022 15:44:41,2.0,37,20.0,5.9,8,50,15.2,6.3,142
52,20-07-2022 15:44:42,2.0,38,19.7,5.8,9,51,15.4,6.4,145
53,20-07-2022 15:44:43,2.0,39,19.8,5.9,10,54,15.1,6.4,145
54,20-07-2022 15:44:44,2.0,42,19.6,5.7,11,54,15.4,6.4,148
55,20-07-2022 15:44:45,2.0,41,19.6,5.8,11,59,15.3,6.5,144
56,20-07-2022 15:44:46,2.0,43,19.4,5.8,10,57,15.4,6.5,145
57,20-07-2022 15:44:47,2.0,43,19.4,5.9,9,61,15.4,6.4,146
58,20-07-2022 15:44:48,2.0,44,19.3,5.9,7,58,15.4,6.3,147
59,20-07-2022 15:44:49,2.0,43,19.4,5.8,8,60,15.5,6.2,147
60,20-07-2022 15:44:50,2.0,43,19.6,5.8,11,59,15.6,6.1,146
61,20-07-2022 15:44:51,2.0,42,19.5,5.9,13,59,15.6,6.2,146
62,20-07-2022 15:44:52,2.0,42,19.3,6.0,12,58,15.3,6.3,144
63,20-07-2022 15:44:53,2.0,43,19.5,6.0,11,58,15.3,6.3,145
64,20-07-2022 15:44:54,2.0,43,19.5,6.0,11,60,15.6,6.4,144
65,20-07-2022 15:44:55,2.0,41,19.6,6.0,11,58,15.4,6.4,141
66,20-07-2022 15:44:56,2.0,40,19.6,6.1,10,56,15.4,6.4,141
67,20-07-2022 15:44:57,2.0,39,19.3,6.0,8,56,15.1,6.5,141
68,20-07-2022 15:44:58,2.0,39,19.4,6.1,6,55,14.9,6.4,141
69,20-07-2022 15:44:59,2.0,43,19.2,5.9,5,57,15.1,6.4,144
70,20-07-2022 15:45:00,2.0,43,19.0,5.9,6,60,15.0,6.5,144
71,20-07-2022 15:45:01,2.0,41,19.0,5.9,9,58,14.9,6.2,145
72,20-07-2022 15:45:02,2.0,40,18.7,6.0,11,57,14.5,6.5,146
73,20-07-2022 15:45:03,2.0,39,18.4,6.0,10,56,14.1,6.5,145
74,20-07-2022 15:45:04,2.0,41,18.6,6.1,10,57,14.3,6.3,145
75,20-07-2022 15:45:05,2.0,42,18.7,6.0,11,59,14.5,6.5,145
76,20-07-2022 15:45:06,2.0,41,19.0,6.1,11,58,14.7,6.4,145
77,20-07-2022 15:45:07,2.0,42,19.0,6.1,10,59,14.9,6.4,146
78,20-07-2022 15:45:08,2.0,43,19.0,6.1,9,61,14.9,6.5,148
79,20-07-2022 15:45:09,2.0,44,19.1,6.1,11,61,15.1,6.4,147
80,20-07-2022 15:45:10,2.0,42,19.3,6.2,13,60,15.0,6.6,144
81,20-07-2022 15:45:11,2.0,41,19.3,6.3,13,58,15.0,6.6,142
82,20-07-2022 15:45:12,2.0,41,19.3,6.4,10,58,14.9,6.6,143
83,20-07-2022 15:45:13,2.0,42,19.5,6.4,9,59,15.1,6.8,142
84,20-07-2022 15:45:14,2.0,43,19.6,6.3,9,61,15.4,6.7,144
85,20-07-2022 15:45:15,2.0,41,19.8,6.3,11,58,15.3,6.7,142
86,20-07-2022 15:45:16,2.0,41,19.8,6.3,10,57,15.4,6.6,142
87,20-07-2022 15:45:17,2.0,40,19.7,6.3,10,57,15.3,6.6,143
88,20-07-2022 15:45:18,2.0,40,19.6,6.1,9,57,15.3,6.6,144
89,20-07-2022 15:45:19,2.0,40,19.7,6.2,9,57,15.1,6.8,142
90,20-07-2022 15:45:20,2.0,40,19.7,6.2,11,57,15.1,6.8,144
91,20-07-2022 15:45:21,2.0,39,19.4,6.2,11,57,15.2,6.8,145
92,20-07-2022 15:45:22,2.0,41,19.4,6.3,9,56,14.8,6.7,144
93,20-07-2022 15:45:23,2.0,43,19.4,6.3,10,58,15.0,6.8,145
94,20-07-2022 15:45:24,2.0,42,19.6,6.3,11,61,15.2,6.7,144
95,20-07-2022 15:45:25,2.0,43,19.6,6.3,10,58,15.2,6.7,146
96,20-07-2022 15:45:26,2.0,43,19.6,6.3,10,60,15.4,6.8,146
97,20-07-2022 15:45:27,2.0,42,19.7,6.3,12,61,15.4,6.7,145
98,20-07-2022 15:45:28,2.0,42,19.7,6.6,12,59,15.4,6.7,145
99,20-07-2022 15:45:29,2.0,42,19.7,6.6,11,58,15.4,6.8,144
100,20-07-2022 15:45:30,2.0,42,19.9,6.6,10,59,15.3,6.8,143
101,20-07-2022 15:45:31,2.0,42,20.0,6.6,11,59,15.4,6.9,145
102,20-07-2022 15:45:32,2.0,43,19.8,6.5,10,60,15.7,6.9,146
103,20-07-2022 15:45:33,2.0,42,20.0,6.5,12,61,15.4,6.8,146
104,20-07-2022 15:45:34,2.0,43,19.8,6.4,12,58,15.6,6.8,146
105,20-07-2022 15:45:35,2.0,42,19.7,6.6,13,61,15.5,6.8,146
106,20-07-2022 15:45:36,2.0,42,19.6,6.6,11,58,15.1,6.9,145
107,20-07-2022 15:45:37,2.0,43,19.7,6.6,12,61,15.2,7.0,143
108,20-07-2022 15:45:38,2.0,42,19.7,6.6,13,61,15.4,7.1,143
109,20-07-2022 15:45:39,2.0,40,19.6,6.6,13,60,15.2,7.1,141
110,20-07-2022 15:45:40,2.0,40,19.7,6.6,11,57,14.9,7.0,141
111,20-07-2022 15:45:41,2.0,40,19.7,6.6,10,57,15.1,7.0,141
112,20-07-2022 15:45:42,2.0,39,19.7,6.6,9,57,15.0,7.0,140
113,20-07-2022 15:45:43,2.0,39,19.8,6.7,10,56,15.1,6.9,139
114,20-07-2022 15:45:44,2.0,38,19.8,6.7,11,55,15.0,6.9,138
115,20-07-2022 15:45:45,2.0,38,19.7,6.7,10,54,14.8,6.9,140
116,20-07-2022 15:45:46,2.0,37,19.6,6.6,9,54,14.7,6.9,142
117,20-07-2022 15:45:47,2.0,40,19.6,6.6,9,55,14.8,6.9,142
118,20-07-2022 15:45:48,2.0,39,19.6,6.5,12,58,14.9,6.9,144
119,20-07-2022 15:45:49,2.0,38,19.2,6.4,12,55,14.8,6.7,147
120,20-07-2022 15:45:50,2.0,38,19.0,6.4,9,55,14.4,6.7,147
121,20-07-2022 15:45:51,2.0,43,19.0,6.4,8,57,14.6,6.6,148
122,20-07-2022 15:45:52,2.0,41,18.8,6.5,9,61,14.8,6.6,147
123,20-07-2022 15:45:53,2.0,41,18.6,6.6,7,59,14.2,6.7,146
124,20-07-2022 15:45:54,2.0,42,18.5,6.6,7,60,14.1,6.8,145
125,20-07-2022 15:45:55,2.0,43,18.3,6.6,9,62,14.1,6.9,148
126,20-07-2022 15:45:56,2.0,42,18.1,6.6,7,61,13.9,6.8,147
127,20-07-2022 15:45:57,2.0,42,18.1,6.6,7,60,13.8,6.7,147
128,20-07-2022 15:45:58,2.0,43,18.0,6.5,9,62,13.8,6.9,149
129,20-07-2022 15:45:59,2.0,42,18.0,6.6,11,62,13.7,6.9,147
130,20-07-2022 15:46:00,2.0,42,18.1,6.6,11,61,13.8,6.8,146
131,20-07-2022 15:46:01,2.0,43,18.1,6.6,10,62,13.9,6.8,146
132,20-07-2022 15:46:02,2.0,43,18.3,6.6,8,62,14.2,6.7,144
133,20-07-2022 15:46:03,2.0,43,18.6,6.6,8,61,14.4,6.6,144
134,20-07-2022 15:46:04,2.0,42,18.7,6.6,9,60,14.4,6.7,143
135,20-07-2022 15:46:05,2.0,41,18.7,6.6,9,59,14.4,6.6,141
136,20-07-2022 15:46:06,2.0,40,18.8,6.5,8,58,14.3,6.7,140
137,20-07-2022 15:46:07,2.0,40,19.0,6.5,6,57,14.4,6.6,141
138,20-07-2022 15:46:08,2.0,40,18.9,6.5,5,57,14.4,6.7,143
139,20-07-2022 15:46:09,2.0,39,19.0,6.4,7,57,14.4,6.8,143
140,20-07-2022 15:46:10,2.0,38,18.8,6.4,9,56,14.2,6.8,143
141,20-07-2022 15:46:11,2.0,38,18.7,6.4,9,56,14.0,6.8,145
142,20-07-2022 15:46:12,2.0,40,18.4,6.4,8,58,14.0,6.7,146
143,20-07-2022 15:46:13,2.0,42,18.4,6.3,8,58,14.0,6.6,147
144,20-07-2022 15:46:14,2.0,40,18.4,6.3,9,60,14.2,6.7,147
145,20-07-2022 15:46:15,2.0,40,18.4,6.3,10,59,14.0,6.6,145
146,20-07-2022 15:46:16,2.0,42,18.3,6.4,11,58,14.1,6.6,148
147,20-07-2022 15:46:17,2.0,41,18.3,6.7,11,60,14.0,6.7,146
148,20-07-2022 15:46:18,2.0,45,18.5,6.4,9,58,14.0,6.6,146
149,20-07-2022 15:46:19,2.0,44,18.7,6.7,11,64,14.6,6.8,144
150,20-07-2022 15:46:20,2.0,44,18.7,6.7,12,63,14.6,6.8,145
151,20-07-2022 15:46:21,2.0,43,18.6,6.6,11,64,14.7,6.8,144
